gene_name,family,species_label,container,n_samples,mean_rel_exp,median_rel_exp,max_rel_exp
SLCO1B3,SLCO,Human,UpperIleum,6,0.005141875401191105,0.0032752485749883028,0.017141095893252675
SLCO1B3,SLCO,Human,UpperJejunum,6,0.005141875401191105,0.0032752485749883028,0.017141095893252675
SLCO2B1,SLCO,Human,BloodCells,360,0.004925790855304006,0.001913623209849087,0.0673185914571687
SLCO2B1,SLCO,Human,Bone,13,0.017885754328904033,0.011309399102754551,0.08618308653777744
SLCO2B1,SLCO,Human,Brain,1620,0.027901441106066713,0.019033048279205243,0.4646783725698381
SLCO2B1,SLCO,Human,Breasts,41,0.030755780291321984,0.026388003431693806,0.12472333329739564
SLCO2B1,SLCO,Human,Caecum,40,0.05029902949080361,0.03234808409488489,0.1772103719318286
SLCO2B1,SLCO,Human,Cartilage,5,0.010836275711062649,0.008499080137754004,0.017367186918378824
SLCO2B1,SLCO,Human,ColonAscendens,40,0.05029902949080361,0.03234808409488489,0.1772103719318286
SLCO2B1,SLCO,Human,ColonDescendens,40,0.05029902949080361,0.03234808409488489,0.1772103719318286
SLCO2B1,SLCO,Human,ColonSigmoid,149,0.027766697787044513,0.018514304478940126,0.1772103719318286
SLCO2B1,SLCO,Human,ColonTransversum,162,0.03507035533943912,0.027856399420739735,0.1772103719318286
SLCO2B1,SLCO,Human,Duodenum,29,0.052223571192467594,0.04883172516729156,0.13552363002359422
SLCO2B1,SLCO,Human,Embryo,53,0.021642290874086034,0.019174982584392798,0.0721949560151094
SLCO2B1,SLCO,Human,Endometrium,159,0.021830542635666618,0.016382439256120127,0.10759789966835094
SLCO2B1,SLCO,Human,Esophagus,21,0.03585135481678976,0.03129846715402792,0.09306950024923889
SLCO2B1,SLCO,Human,Eye,47,0.04295462532149465,0.01131881665395651,0.22212527467898782
SLCO2B1,SLCO,Human,Fat,770,0.029794298656049687,0.020528080767397996,0.3216788758152889
SLCO2B1,SLCO,Human,GallBladder,7,0.09763363277204433,0.09232736867307327,0.164048982200155
SLCO2B1,SLCO,Human,Gonads,390,0.0155488149096279,0.011600239865137557,0.0740799625288384
SLCO2B1,SLCO,Human,Heart,306,0.008939831865064132,0.0057419571608645125,0.11007043769436209
SLCO2B1,SLCO,Human,Kidney,105,0.030185668002264104,0.007609416647113213,0.17299791405243176
SLCO2B1,SLCO,Human,LargeIntestine,280,0.03158950080339315,0.024280324394154625,0.1772103719318286
SLCO2B1,SLCO,Human,LowerIleum,25,0.05071128345508102,0.029247155507700195,0.13552363002359422
SLCO2B1,SLCO,Human,LowerJejunum,25,0.05071128345508102,0.029247155507700195,0.13552363002359422
